n_seeds,RE_delay_mean_pct,RE_delay_max_pct,rolling_mean_last3
1,2.8270309982416424,6.869792205114317,
6,2.780061664970669,6.810376587906489,
11,2.6798220467479346,6.151625707507761,2.762304903320082
16,2.6317371349475445,5.702094608911422,2.697206948888716
21,2.716330537347496,5.852772242405678,2.6759632396809914
26,2.599990716301859,5.569241205632127,2.6493527961989662
31,2.745160066754707,5.847582769923324,2.687160440134688
36,2.8261543215260594,5.76682058760412,2.7237683681942086
41,2.899006233693978,5.6558783455013115,2.8234402073249147
46,2.9435098792594427,5.60085482312613,2.88955681149316
51,2.9323122023939567,5.652456783854416,2.9249427717824594
56,2.946489132436147,5.6091525237089055,2.940770404696515
61,2.9964571374135587,5.763766791583294,2.9584194907478873
66,2.9283626637143207,5.6813729302765585,2.957102977854676
71,2.919618961532548,5.510127706393955,2.9481462542201426
76,2.9101446727647757,5.372628129929899,2.9193754326705483
81,2.9249295738139387,5.363024517552485,2.918231069370421
86,2.9119311786040853,5.408207426191372,2.915668475060933
91,2.9129489798813153,5.3734877244137715,2.9166032440997793
96,2.926465970146529,5.364027652058133,2.9171153762106434
