scenario,n_seeds,n_blocks_used,running_mean_RE_delay_pct,SE_pct,ci95_halfwidth_pct,enough_data,tol_pass,drift_pass,trend_pass,overall_pass
"S1 (nominal, kappa=1.0)",10,1,3.18764648138349,,,False,False,False,True,False
"S1 (nominal, kappa=1.0)",20,2,3.251699305945033,0.06405282456154349,0.12554353614062524,False,False,False,True,False
"S1 (nominal, kappa=1.0)",30,3,3.2192835801583954,0.049176898943627666,0.09638672192951023,False,True,False,True,False
"S1 (nominal, kappa=1.0)",40,4,3.2920403151004187,0.08063948272576973,0.1580533861425087,False,False,True,True,False
"S1 (nominal, kappa=1.0)",50,5,3.2912479048356316,0.062468100808297095,0.12243747758426231,False,False,True,True,False
"S1 (nominal, kappa=1.0)",60,6,3.3104005122596476,0.05448239578251109,0.10678549573372173,False,False,True,True,False
"S1 (nominal, kappa=1.0)",70,7,3.2568406792435645,0.07063209230127002,0.13843890091048924,False,False,True,True,False
"S1 (nominal, kappa=1.0)",80,8,3.2364868730413283,0.06446663302871919,0.1263546007362896,False,False,True,True,False
"S1 (nominal, kappa=1.0)",90,9,3.2511571303555225,0.05871643293112611,0.11508420854500719,False,False,True,True,False
"S1 (nominal, kappa=1.0)",100,10,3.292850378903941,0.06705536944529163,0.1314285241127716,False,False,True,True,False
"S1 (nominal, kappa=1.0)",110,11,3.260971056736187,0.06852140086639905,0.13430194569814213,False,False,True,True,False
"S1 (nominal, kappa=1.0)",120,12,3.263276085824922,0.06259365095341574,0.12268355586869484,False,False,True,True,False
"S1 (nominal, kappa=1.0)",130,13,3.2465948453815305,0.059945517386753015,0.11749321407803591,False,False,True,True,False
"S1 (nominal, kappa=1.0)",140,14,3.2408999989973073,0.05579017995511956,0.10934875271203434,False,False,True,True,False
"S1 (nominal, kappa=1.0)",150,15,3.2506678270861062,0.052848356212913616,0.10358277817731068,True,False,True,True,False
"S1 (nominal, kappa=1.0)",160,16,3.267442509401591,0.052203640935202855,0.1023191362329976,True,False,True,True,False
"S1 (nominal, kappa=1.0)",170,17,3.251292284517401,0.051627858353083166,0.101190602372043,True,False,True,True,False
"S1 (nominal, kappa=1.0)",180,18,3.236571668456463,0.050852460772895666,0.0996708231148755,True,True,True,True,True
"S1 (nominal, kappa=1.0)",190,19,3.2336231130759225,0.04819189854988806,0.0944561211577806,True,True,True,True,True
"S1 (nominal, kappa=1.0)",200,20,3.2226651629999017,0.04701371977547615,0.09214689075993325,True,True,True,True,True
"S1 (nominal, kappa=1.0)",210,21,3.23472692870529,0.046317083717503274,0.09078148408630642,True,True,True,True,True
"S1 (nominal, kappa=1.0)",220,22,3.235469408178048,0.04416784769941324,0.08656898149084995,True,True,True,True,True
"S1 (nominal, kappa=1.0)",230,23,3.229837443350795,0.04257796522295481,0.08345281183699142,True,True,True,True,True
