alpha,W1_U_s,W2_U_s,W3_U_s,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,rho_U_reference_line
0.05,0.04971481936600597,0.05526238007180384,0.07709246723437169,0.17062021919688647,0.27776899787351456,0.504586568331567,0.3011575342171176,0.1802025018388388,0.3011575342171176
0.05452261306532664,0.05019775157592479,0.05582900142859537,0.0780341847176339,0.17140326853497811,0.2789358534866517,0.5067287543275204,0.30259809643234703,0.1802025018388388,0.3283979141965554
0.05904522613065327,0.050687755347690794,0.05640438710701495,0.07899335751809528,0.1721962744059754,0.2801172433635339,0.508899935524907,0.30405250650865734,0.1802025018388388,0.35563829417599313
0.0635678391959799,0.051184969430840194,0.05698871889623458,0.07997042205421012,0.17299941735937097,0.28131343289324584,0.5111007155420065,0.3055209650858389,0.1802025018388388,0.38287867415543086
0.06809045226130653,0.05168953599483617,0.057582183325970454,0.08096582854275797,0.1738128821760151,0.28252469382827794,0.5133317150411468,0.30700367669854994,0.1802025018388388,0.4101190541348686
0.07261306532663317,0.052201600730729505,0.058184971815688435,0.081980041528463,0.17463685798956208,0.2837513044733032,0.5155935723374665,0.30850084987128745,0.1802025018388388,0.43735943411430633
0.0771356783919598,0.05272131295636283,0.058797280829320536,0.08301354043760506,0.1754715384120419,0.28499354988062836,0.5178869440339946,0.31001269721615077,0.1802025018388388,0.46459981409374407
0.08165829145728642,0.05324882572525995,0.059419312035726174,0.08406682015687972,0.17631712166371893,0.28625172205259386,0.5202125056843889,0.31153943553349434,0.1802025018388388,0.4918401940731818
0.08618090452261307,0.053784295939348734,0.060051272475143413,0.08514039163883691,0.17717381070740645,0.28752612015120854,0.5225709524847411,0.3130812859155683,0.1802025018388388,0.5190805740526196
0.09070351758793971,0.05432788446567256,0.060693374731887434,0.0862347825353112,0.1780418133874146,0.28881705071532116,0.5249629999959525,0.31463847385325283,0.1802025018388388,0.5463209540320574
0.09522613065326634,0.0548797562572525,0.06134583711356573,0.08735053786033892,0.17892134257331543,0.29012482788564126,0.5273893848982639,0.3162112293459932,0.1802025018388388,0.5735613340114951
0.09974874371859296,0.05544008047826968,0.06200888383709266,0.08848822068415069,0.1798126163087193,0.2914497736379416,0.5298508657796225,0.3177997870150494,0.1802025018388388,0.6008017139909329
0.1042713567839196,0.05600903063374518,0.06268274522180006,0.08964841285992275,0.18071585796526252,0.29279221802478445,0.5323482239596654,0.3194043862201744,0.1802025018388388,0.6280420939703706
0.10879396984924623,0.05658678470390363,0.06336765788995521,0.09083171578507787,0.1816312964020197,0.294152499426137,0.5348822643512154,0.3210252711798483,0.1802025018388388,0.6552824739498084
0.11331658291457286,0.05717352528341385,0.06406386497501262,0.09203875119903371,0.18255916613055923,0.29553096480925306,0.5374538163612884,0.32266269109518897,0.1802025018388388,0.682522853929246
0.1178391959798995,0.05776943972571105,0.06477161633794326,0.09327016201942029,0.18349970748587463,0.29692796999822013,0.5400637348337479,0.3243169002776764,0.1802025018388388,0.7097632339086839
0.12236180904522613,0.0583747202926127,0.06549116879200029,0.09452661321890965,0.18445316680343227,0.2983438799535891,0.5427129010358611,0.325988158280825,0.1802025018388388,0.7370036138881216
0.12688442211055276,0.05898956430945178,0.0662227863363013,0.09580879274494414,0.18541979660258878,0.29977906906252494,0.5454022236911653,0.3276767300359487,0.1802025018388388,0.7642439938675594
0.1314070351758794,0.059614174325961014,0.0669667403986233,0.09711741248478939,0.18639985577664353,0.301233921439938,0.5481326400611927,0.32938288599216714,0.1802025018388388,0.7914843738469972
0.135929648241206,0.060248758283152765,0.06772331008782917,0.09845320927849899,0.1873936097898023,0.3027088312410779,0.5509051170787703,0.33110690226080886,0.1802025018388388,0.8187247538264348
0.14045226130653266,0.060893529686451855,0.06849278245636506,0.09981694598254515,0.18840133088134403,0.30420420298609907,0.5537206525357871,0.33284906076437354,0.1802025018388388,0.8459651338058727
0.1449748743718593,0.061548707785350085,0.06927545277328986,0.10120941258704685,0.18942329827729376,0.30572045189712693,0.5565802763284948,0.33460964939022086,0.1802025018388388,0.8732055137853103
0.14949748743718594,0.062214517759865084,0.07007162480832435,0.10263142738972719,0.19045979840992205,0.30725800424838795,0.5594850517636283,0.3363889621491645,0.1802025018388388,0.9004458937647482
0.15402010050251258,0.06289119091409913,0.07088161112743033,0.104083838229931,0.1915111251454033,0.30881729772998834,0.5624360769288209,0.33818729933915115,0.1802025018388388,0.927686273744186
