p_LoS,kappa_onset,a3_at_onset,AWSS_soft_P1_at_onset,AWSS_soft_P3_at_onset,AWSS_gain_pct_at_onset
0.1,3.0,0.75,,1.4291558063393726,
0.17727272727272728,3.25,0.75,,1.3894366588970284,
0.2545454545454545,3.25,0.75,,1.4974574590644953,
0.3318181818181818,3.25,0.75,,1.6026931039559007,
0.40909090909090906,3.25,0.75,,1.7054943244833427,
0.48636363636363633,3.5,0.75,,1.676926146298721,
0.5636363636363636,3.5,0.75,,1.7837884008041216,
0.6409090909090909,3.75,0.75,,1.7681640853865985,
0.7181818181818181,4.0,0.75,,1.8475901226960365,
0.7954545454545454,4.25,0.75,,1.9347314168235652,
0.8727272727272727,4.25,0.75,,2.154146976069111,
0.95,4.25,0.75,,2.363294157283779,
