kappa,policy,feasible,PAoI1_s,AoI_avg1_sim_s,AGDI,CSPR,a3,surrogate_conservative
4.8,P3,True,0.7890252406404061,0.7989641628598176,1.9116293373919495,1.0,0.5,False
5.0,P1,False,,,,,,False
5.0,P3,True,0.7762051284673379,0.7854561919554062,1.8283700925273516,1.0,0.5,False
5.5,P1,False,,,,,,False
5.5,P3,True,0.7510774212798823,0.7587121263205311,1.5930606107951872,1.0,0.5,False
6.0,P1,False,,,,,,False
6.0,P3,True,0.6562686296467584,0.6608837170886978,2.0767322583611967,1.0,0.25,False
6.5,P1,False,,,,,,False
6.5,P3,True,0.6380443241452065,0.6418155525510426,1.9233780759887564,1.0,0.25,False
7.0,P1,False,,,,,,False
7.0,P3,True,0.6246978474721478,0.6275351565620645,1.7458434222579642,1.0,0.25,False
7.1,P1,False,,,,,,False
7.1,P3,True,0.6225296212028717,0.6251294983311254,1.708092938624813,1.0,0.25,False
7.2,P1,False,,,,,,False
7.2,P3,True,0.6205135566593052,0.6229339649504677,1.6700193162958252,1.0,0.25,False
7.3,P1,False,,,,,,False
7.3,P3,True,0.6186439928390908,0.620814335159632,1.6320034083997623,1.0,0.25,False
7.4,P1,False,,,,,,False
7.4,P3,True,0.6169155798387023,0.6187491187805934,1.594944108155468,1.0,0.25,False
7.5,P1,False,,,,,,False
7.5,P3,True,0.6153232581685246,0.6170194748386935,1.5592453926554757,1.0,0.25,False
7.6,P1,False,,,,,,False
7.6,P3,True,0.5120081570543633,0.502778969011371,2.4825702480579857,1.0,0.0,True
7.7,P1,False,,,,,,False
7.7,P3,True,0.5091070839129295,0.4997436867411292,2.464207571981526,1.0,0.0,True
7.8,P1,False,,,,,,False
7.8,P3,True,0.5063215855412553,0.49678861397385043,2.4451520344613007,1.0,0.0,True
7.9,P1,False,,,,,,False
7.9,P3,True,0.5036475421477691,0.4939248894468308,2.425385442182016,1.0,0.0,True
8.0,P1,False,,,,,,False
8.0,P3,True,0.5010810422806415,0.4911803598738724,2.404888087582126,1.0,0.0,True
8.5,P1,False,,,,,,False
8.5,P3,True,0.4897378377584294,0.47915196851618036,2.2906368581392984,1.0,0.0,True
9.0,P1,False,,,,,,False
9.0,P3,True,0.48059625633947817,0.4693460766145229,2.154185217691182,1.0,0.0,True
9.5,P1,False,,,,,,False
9.5,P3,True,0.47333925899261,0.4614234769882403,1.9910123874755177,1.0,0.0,True
10.0,P1,False,,,,,,False
10.0,P3,True,0.46771455868397593,0.455167913611966,1.7953848922715894,1.0,0.0,True
10.1,P1,False,,,,,,False
10.1,P3,True,0.4667669082948011,0.4540641090655529,1.7518112750284989,1.0,0.0,True
10.2,P1,False,,,,,,False
10.2,P3,True,0.4658748918951055,0.45311657893900964,1.7066458099687898,1.0,0.0,True
10.3,P1,False,,,,,,False
10.3,P3,True,0.4650371454763226,0.4521044826482484,1.659852361328608,1.0,0.0,True
10.4,P1,False,,,,,,False
10.4,P3,True,0.4642523598631625,0.45121999743854546,1.6114055847305362,1.0,0.0,True
10.5,P1,False,,,,,,False
10.5,P3,True,0.43534379804759515,0.42179950020648094,2.1550215261152883,1.0,0.0,True
11.0,P1,False,,,,,,False
11.0,P3,True,0.4307221676017919,0.4165689688330713,2.0623232851970705,1.0,0.0,True
