p_LoS,kappa,p1_feasible,p3_feasible,alpha,B_UH_MHz,a1,a2,a3,rho_U,rho_H,AWSS_soft_P1,AWSS_soft_P3,AWSS_gain_abs,AWSS_gain_pct,self_throttling_active
0.1,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.5423305791316273,1.0748623151457586,1.5802467075018163,0.5053843923560577,47.01852369691872,False
0.17727272727272728,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.5189007701716489,1.1367684028281653,1.6515813674660813,0.514812964637916,45.287409762367886,False
0.2545454545454545,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.49547096121167056,1.198321827179813,1.722199326343987,0.5238774991641739,43.71759633195465,False
0.3318181818181818,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.4720411522516921,1.2595777247151472,1.7921990020103749,0.5326212772952277,42.28570153665425,False
0.40909090909090906,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.4486113432917137,1.320585795152801,1.8616661845435951,0.5410803893907941,40.97275552840452,False
0.48636363636363633,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.42518153433173533,1.3813904290184162,1.9306756223059125,0.5492851932874963,39.763211163827556,False
0.5636363636363636,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.401751725371757,1.4420310432786543,1.9992924737012405,0.5572614304225862,38.64420485397987,False
0.6409090909090909,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.3783219164117786,1.5025425082883261,2.067573598188603,0.5650310899002768,37.604998646191504,False
0.7181818181818181,2.0,True,True,0.35,1.2,1.0,1.0,1.0,0.4513030220453409,0.4436151343147503,1.5629556006837606,2.1487228277858033,0.5857672271020427,37.47817448210184,False
0.7954545454545454,2.0,True,True,0.35,1.2,1.0,1.0,1.0,0.4513030220453409,0.41432787311477737,1.6232974466906267,2.253270812981287,0.6299733662906601,38.80825215212222,False
0.8727272727272727,2.0,True,True,0.35,1.2,1.0,1.0,1.0,0.4513030220453409,0.38504061191480443,1.6835919376598554,2.3571848963175626,0.6735929586577072,40.00927680813096,False
0.95,2.0,True,True,0.35,1.2,1.0,1.0,1.0,0.4513030220453409,0.3557533507148314,1.743860109668818,2.460585092833295,0.7167249831644769,41.099912727552,False
