scenario,converged,n_seeds_converged,mean_at_convergence_pct,ci95_halfwidth_at_convergence_pct,best_available_n_seeds,best_available_mean_pct,best_available_ci95_halfwidth_pct
"S1 (nominal, kappa=1.0)",True,180,3.236571668456463,0.0996708231148755,1000,3.172474613783599,0.052468036846555786
"S2 (weak UAV-HAP link, kappa=1.0)",True,630,2.8971157899405964,0.09892940224564918,1000,2.838095613674184,0.08247032202880089
"S3 (degraded backhaul, kappa=1.0)",True,190,4.925654593555381,0.09842981649821719,1000,4.957053344421163,0.0522694827069114
"S4 (disaster surge, kappa=1.6)",True,290,3.885254440575277,0.09987987468430398,1000,3.860431076426802,0.055000426239880405
