scenario,kappa,rho_U,rho_H,one_minus_rho_U,one_minus_rho_H,W0_U,W0_H,empirical_block_std_RE_delay_pct,empirical_block_CV_RE_delay,CV_S_UH_class1,CV_S_UH_class2,CV_S_UH_class3,CV_S_HG_class1,CV_S_HG_class2,CV_S_HG_class3,CV_S_UH_max_over_classes
"S1 (nominal, kappa=1.0)",1.0,0.35201635719536595,0.1802025018388388,0.647983642804634,0.8197974981611612,,,0.267694065543652,0.08438020729325589,0.6386134471502876,0.6386134471502876,0.6386134471502876,0.9206960745855061,0.9206960745855061,0.9206960745855061,0.6386134471502876
"S2 (weak UAV-HAP link, kappa=1.0)",1.0,0.5721993150125235,0.1802025018388388,0.4278006849874765,0.8197974981611612,,,0.4207669491265352,0.14825679131430405,0.7605998390116158,0.7605998390116158,0.7605998390116158,0.9206960745855061,0.9206960745855061,0.9206960745855061,0.7605998390116158
"S3 (degraded backhaul, kappa=1.0)",1.0,0.35201635719536595,0.3557061228010166,0.647983642804634,0.6442938771989835,,,0.26668103421893574,0.053798298240842556,0.6386134471502876,0.6386134471502876,0.6386134471502876,0.9789100664896967,0.9789100664896967,0.9789100664896967,0.6386134471502876
"S4 (disaster surge, kappa=1.6)",1.6,0.5632261715125856,0.28832400294214205,0.4367738284874144,0.7116759970578579,,,0.28061441959122657,0.0726899183111338,0.6386134471502876,0.6386134471502876,0.6386134471502876,0.9206960745855061,0.9206960745855061,0.9206960745855061,0.6386134471502876
