scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S1 (nominal, kappa=1.0)",27,10,3.3522403496804998,1.0712091648208415
"S1 (nominal, kappa=1.0)",28,10,3.415805541787634,0.7182955619840891
"S1 (nominal, kappa=1.0)",29,10,3.643092054030228,0.8341821342393435
"S1 (nominal, kappa=1.0)",30,10,3.7070648240225443,0.7307444465750937
"S1 (nominal, kappa=1.0)",31,10,3.385096619896948,0.863598298074575
"S1 (nominal, kappa=1.0)",32,10,3.3136558871470405,0.9086145733743825
"S1 (nominal, kappa=1.0)",33,10,3.5069133945476887,1.1604274699862531
"S1 (nominal, kappa=1.0)",34,10,3.401922675095019,0.8430627286823829
"S1 (nominal, kappa=1.0)",35,10,3.0889649794548597,0.8589158737280542
"S1 (nominal, kappa=1.0)",36,10,3.2223498719679013,0.6110180776478465
"S1 (nominal, kappa=1.0)",37,10,2.455324433320347,0.9201582342975494
"S1 (nominal, kappa=1.0)",38,10,3.076349539375203,0.7042241766222493
"S1 (nominal, kappa=1.0)",39,10,3.299102399455543,0.8407071441076399
"S1 (nominal, kappa=1.0)",40,10,3.3654582112868647,1.2801197218763947
"S1 (nominal, kappa=1.0)",41,10,2.666590297910631,0.7977843282221477
"S1 (nominal, kappa=1.0)",42,10,2.960564009131246,0.8943716936090473
"S1 (nominal, kappa=1.0)",43,10,3.240142153856353,0.9743205839729341
"S1 (nominal, kappa=1.0)",44,10,2.959437697558446,1.1277263376533935
"S1 (nominal, kappa=1.0)",45,10,3.158452481255429,0.8624923137784749
"S1 (nominal, kappa=1.0)",46,10,3.0346695952775584,0.668719707051597
"S1 (nominal, kappa=1.0)",47,10,2.87395028927422,1.0571915891070633
"S1 (nominal, kappa=1.0)",48,10,3.4189080370058194,0.4790388096082823
"S1 (nominal, kappa=1.0)",49,10,3.1681351027949525,0.6412481289960902
"S1 (nominal, kappa=1.0)",50,10,3.35733413201802,0.6556874480945204
"S1 (nominal, kappa=1.0)",51,10,3.2534976004084344,1.024864421227294
"S1 (nominal, kappa=1.0)",52,10,3.0147033131576424,0.6206921201677987
"S1 (nominal, kappa=1.0)",53,10,3.5165750372857323,1.0740367149724155
"S1 (nominal, kappa=1.0)",54,10,3.085514284396937,1.3263383466960363
"S1 (nominal, kappa=1.0)",55,10,3.468845825713791,1.043957914319009
"S1 (nominal, kappa=1.0)",56,10,3.162510029550779,0.9031824034568059
"S1 (nominal, kappa=1.0)",57,10,2.935830151510112,0.870015860797509
"S1 (nominal, kappa=1.0)",58,10,3.3559994346071704,1.1673239519454908
"S1 (nominal, kappa=1.0)",59,10,3.25462576532957,0.6926968280262519
"S1 (nominal, kappa=1.0)",60,10,2.735488360394039,0.9836331542377609
"S1 (nominal, kappa=1.0)",61,10,3.116682007001566,1.1280271436662577
"S1 (nominal, kappa=1.0)",62,10,3.291430412689146,0.7724469559968616
"S1 (nominal, kappa=1.0)",63,10,2.628330675361487,0.6116958770384622
"S1 (nominal, kappa=1.0)",64,10,2.3913357043339443,0.4059965549102462
"S1 (nominal, kappa=1.0)",65,10,3.3767116184947064,1.136495080293907
"S1 (nominal, kappa=1.0)",66,10,3.003097957534701,0.6845369565413991
"S1 (nominal, kappa=1.0)",67,10,3.221198854295296,0.4843566865759691
"S1 (nominal, kappa=1.0)",68,10,3.365048717599508,0.98855248068417
"S1 (nominal, kappa=1.0)",69,10,3.2932208350833987,0.7370471620445874
"S1 (nominal, kappa=1.0)",70,10,2.6321489936428835,0.8595775805695379
"S1 (nominal, kappa=1.0)",71,10,3.192949521214414,0.8832674837049058
