kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
2.8,P3,True,0.35,1.2,1.0,1.0,1.0,0.25946261118014347,0.3975066237303575,0.9142559502316179,0.6318242308634772,0.6307087564359355,1.0,0.7523788498216107,2.036041334784034,1.1523197540372863,0.9927447189684527,1.3606845216601893,1.1685856632294545,1000
2.9,P1,False,,,,,,,,,,,,,,,,,,0
2.9,P2,True,0.35,1.2,1.0,1.0,1.0,0.26571479351354776,0.4075149310728332,0.9755056180202013,0.6543893819657443,0.6532340691657903,1.0,0.7341992613419216,1.9966715593498392,1.1277837590307893,0.9822275747509941,1.406540100778822,1.1439197395233263,1000
2.9,P3,True,0.35,1.2,1.0,1.0,1.0,0.26571479351354776,0.4075149310728332,0.9755056180202013,0.6543893819657443,0.6532340691657903,1.0,0.7341992613419216,1.9966715593498392,1.1277837590307893,0.9822275747509941,1.406540100778822,1.1439197395233263,1000
3.0,P1,False,,,,,,,,,,,,,,,,,,0
3.0,P2,True,0.35,1.2,1.0,1.0,1.0,0.27199186877541653,0.41774955855883356,1.0458292656486727,0.6769545330680113,0.6757593818956453,1.0,0.7150475050319653,1.9512707912524216,1.1053252021087498,0.9733051141143891,1.4624959323153393,1.1208599653415623,1000
3.0,P3,True,0.35,1.2,1.0,1.0,1.0,0.27199186877541653,0.41774955855883356,1.0458292656486727,0.6769545330680113,0.6757593818956453,1.0,0.7150475050319653,1.9512707912524216,1.1053252021087498,0.9733051141143891,1.4624959323153393,1.1208599653415623,1000
3.2,P1,False,,,,,,,,,,,,,,,,,,0
3.2,P2,True,0.35,1.2,1.0,1.0,1.0,0.2846212951261028,0.43892542790987,1.2225830284375723,0.7220848352725455,0.720810007355355,1.0,0.673011486493334,1.8419048625912908,1.0658712951261027,0.9597587612432034,1.6132080284375723,1.0806334116107246,1000
3.2,P3,True,0.35,1.2,1.0,1.0,1.0,0.2846212951261028,0.43892542790987,1.2225830284375723,0.7220848352725455,0.720810007355355,1.0,0.673011486493334,1.8419048625912908,1.0658712951261027,0.9597587612432034,1.6132080284375723,1.0806334116107246,1000
3.4,P1,False,,,,,,,,,,,,,,,,,,0
3.4,P2,True,0.35,1.2,1.0,1.0,1.0,0.297352096296278,0.46109234681284433,1.4708710867532815,0.7672151374770796,0.7658606328150647,1.0,0.6238644062415067,1.706779282434026,1.0326462139433368,0.9512884252442169,1.838518145576811,1.046377687570749,1000
3.4,P3,True,0.35,1.2,1.0,1.0,1.0,0.297352096296278,0.46109234681284433,1.4708710867532815,0.7672151374770796,0.7658606328150647,1.0,0.6238644062415067,1.706779282434026,1.0326462139433368,0.9512884252442169,1.838518145576811,1.046377687570749,1000
3.6,P1,False,,,,,,,,,,,,,,,,,,0
3.6,P2,True,0.35,1.2,1.0,1.0,1.0,0.31018549778992266,0.4843132459317022,1.8422855952546509,0.8123454396816137,0.8109112582747744,1.0,0.5629252300637347,1.5471761340252064,1.004629942234367,0.9472762088946651,2.189507817476873,1.0166681620079792,1000
3.6,P3,True,0.35,1.2,1.0,1.0,1.0,0.31018549778992266,0.4843132459317022,1.8422855952546509,0.8123454396816137,0.8109112582747744,1.0,0.5629252300637347,1.5471761340252064,1.004629942234367,0.9472762088946651,2.189507817476873,1.0166681620079792,1000
3.7,P1,False,,,,,,,,,,,,,,,,,,0
3.7,P2,True,0.35,1.2,1.0,1.0,1.0,0.3166410620402226,0.4963400441570117,2.105628601524079,0.8349105907838807,0.8334365710046292,1.0,0.5251890116487143,1.4623998038260368,0.9923167377158981,0.9467904946074621,2.4434664393619165,1.003526474426031,1000
3.7,P3,True,0.35,1.2,1.0,1.0,1.0,0.3166410620402226,0.4963400441570117,2.105628601524079,0.8349105907838807,0.8334365710046292,1.0,0.5251890116487143,1.4623998038260368,0.9923167377158981,0.9467904946074621,2.4434664393619165,1.003526474426031,1000
3.8,P1,False,,,,,,,,,,,,,,,,,,0
3.8,P2,True,0.35,1.2,1.0,1.0,1.0,0.32312274494418336,0.5086563785924374,2.453344280819757,0.8574757418861476,0.855961883734484,1.0,0.4796654028351112,1.383141000726818,0.9810174817862887,0.9472528698205076,2.78229164924081,0.9911638596835752,1000
3.8,P3,True,0.35,1.2,1.0,1.0,1.0,0.32312274494418336,0.5086563785924374,2.453344280819757,0.8574757418861476,0.855961883734484,1.0,0.4796654028351112,1.383141000726818,0.9810174817862887,0.9472528698205076,2.78229164924081,0.9911638596835752,1000
3.9,P1,False,,,,,,,,,,,,,,,,,,0
3.9,P2,True,0.35,1.2,1.0,1.0,1.0,0.32963070533397176,0.5212717064490645,2.932717828997756,0.8800408929884148,0.8784871964643389,1.0,0.46104497967765873,1.3422543397988824,0.9706563463596127,0.9486221337994919,3.2532306495105763,0.9798708334544978,1000
3.9,P3,True,0.35,1.2,1.0,1.0,0.75,0.28128357938175613,0.45288303489722376,1.294315696750716,0.733367410823679,0.7320726637202823,1.0,0.6353236716954374,1.8433520601900382,0.922309220407397,0.8802334622476511,1.7216661241011433,0.9350974139571268,1000
4.0,P1,False,,,,,,,,,,,,,,,,,,0
4.0,P2,True,0.35,1.2,1.0,1.0,1.0,0.3361651033322206,0.5341958931903472,3.634424936220637,0.9026060440906818,0.9010125091941938,1.0,0.44642091804878525,1.303813255996992,0.9611651033322206,0.950862559857014,3.946924936220637,0.969034762447617,1000
4.0,P3,True,0.35,1.2,1.0,1.0,0.75,0.28647758804703083,0.4631561064095254,1.3999527258569415,0.7521717034089015,0.7508437576618281,1.0,0.6165674507434751,1.78965373710184,0.9114775880470308,0.879822773076192,1.816619392523608,0.9236608826522613,1000
4.1,P1,False,,,,,,,,,,,,,,,,,,0
4.1,P2,True,0.35,1.2,1.0,1.0,1.0,0.3427261003651608,0.5474392347192101,4.757122392710535,0.9251711951929488,0.9235378219240484,1.0,0.43158736483586213,1.2640844339450013,0.9524821979261364,0.9539432997598606,5.062000441491023,0.9590201546965142,1000
4.1,P3,True,0.35,1.2,1.0,1.0,0.75,0.2916927395347526,0.4736828650606729,1.52371267607403,0.770975995994124,0.7696148516033737,1.0,0.5964211619250875,1.7323133630808043,0.9014488370957282,0.8801869301013234,1.9302167411146804,0.9131967469881495,1000
4.2,P1,False,,,,,,,,,,,,,,,,,,0
4.2,P2,True,0.35,1.2,1.0,1.0,1.0,0.34931385917591506,0.5610124810269734,6.836373998698111,0.947736346295216,0.9460631346539036,1.0,0.41653808880070786,1.2231417716158959,0.9445519544140103,0.9578378778523702,7.133993046317158,0.9494173612420216,1000
4.2,P3,True,0.35,1.2,1.0,1.0,0.75,0.2969291632048393,0.48447185571556173,1.670466580923852,0.7897802885793467,0.7883859455449196,1.0,0.5745509897800167,1.6715764376498712,0.8921672584429345,0.8812972525409586,2.0672919777492487,0.9034136227330978,1000
4.3,P1,False,,,,,,,,,,,,,,,,,,0
