bar_gamma_UH,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,D_rho
88.0,0.10262575282314648,0.17642311396841026,0.3265632254589027,0.16487624324814484,0.1802025018388388,-0.015326258590693947
89.0,0.10246248420922345,0.17615575470895573,0.3260794397390435,0.1644031866954922,0.1802025018388388,-0.015799315143346593
90.0,0.10230221647946489,0.17589317767646065,0.3256042076652068,0.16393805178971108,0.1802025018388388,-0.016264450049127716
91.0,0.10214485829064358,0.1756352400494044,0.3251372755774831,0.1634806140158541,0.1802025018388388,-0.0167218878229847
92.0,0.10199032212132689,0.17538180489446722,0.32467840022666494,0.1630306577066775,0.1802025018388388,-0.0171718441321613
93.0,0.10183852407013999,0.175132740859396,0.32422734823270005,0.16258797559933813,0.1802025018388388,-0.01761452623950066
94.0,0.10168938366681211,0.17488792188514066,0.32378389557707643,0.16215236841890784,0.1802025018388388,-0.018050133419930947
95.0,0.10154282369506396,0.17464722693585344,0.3233478271266609,0.1617236444868097,0.1802025018388388,-0.018478857352029088
96.0,0.10139877002647443,0.17441053974546167,0.32291893618672174,0.16130161935243703,0.1802025018388388,-0.01890088248640176
97.0,0.10125715146453544,0.17417774857962876,0.32249702408104924,0.16088611544635134,0.1802025018388388,-0.01931638639248745
98.0,0.10111789959816839,0.17394874601201654,0.322081899757261,0.16047696175358353,0.1802025018388388,-0.01972554008525526
99.0,0.10098094866403476,0.17372342871384716,0.321673379415529,0.1600739935056774,0.1802025018388388,-0.020128508333161405
100.0,0.10084623541702717,0.17350169725584486,0.3212712861591096,0.15967705189021927,0.1802025018388388,-0.020525449948619517
