kappa,a3,a2,PAoI1_ana,AoI1_sim_mean,gap_sim_paoi,E2E_cv,AoI_cv,E2E_p95,AoI_p95,n_seeds
7.4,0.25,1.0,0.6169155798387023,0.6190479051657387,-0.002132325327036444,0.014438864789645386,0.008042387447599754,0.29731297206898405,0.6269735233370215,200
7.5,0.25,1.0,0.6153232581685246,0.6176576445484989,-0.002334386379974296,0.016561241368889562,0.00917036049698094,0.3014400507022193,0.627097772501075,200
7.6,0.0,1.0,0.5120081570543633,0.5026937258739413,0.009314431180421967,0.011414529836138363,0.007597661083136451,0.18906545841572625,0.5083057715172561,200
7.7,0.0,1.0,0.5091070839129295,0.4996474652126167,0.009459618700312755,0.01124972620860419,0.0074806332875813905,0.19025256625214593,0.5053041403741366,200
7.8,0.0,1.0,0.5063215855412553,0.4966724138690414,0.009649171672213908,0.011130494960318215,0.007377109978902342,0.19196273370034428,0.5026120369479044,200
10.3,0.0,1.0,0.4650371454763226,0.45210139049123305,0.012935754985089531,0.010116361329366419,0.006239619721662626,0.2269497608809715,0.45682180542611883,200
10.4,0.0,1.0,0.4642523598631625,0.4514398061973209,0.012812553665841608,0.011283599626066463,0.006611705527985376,0.22911149732670602,0.45648499346660554,200
10.5,0.0,0.75,0.43534379804759515,0.4218167491610461,0.013527048886549042,0.010887108080393969,0.006506849238914494,0.20195160809215199,0.4262252833548025,200
10.6,0.0,0.75,0.4343261566831418,0.42068325626566905,0.013642900417472736,0.011260626688004767,0.00635663054456602,0.20372444704810136,0.42561691612260494,200
10.7,0.0,0.75,0.433356276956979,0.41969095634021736,0.013665320616761623,0.010667430576075682,0.006116560607766707,0.20450159068032012,0.42402116669818957,200
