p_LoS,kappa,p1_feasible,p3_feasible,alpha,B_UH_MHz,a1,a2,a3,rho_U,rho_H,AWSS_soft_P1,AWSS_soft_P3,AWSS_gain_abs,AWSS_gain_pct,self_throttling_active
0.1,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.27116528956581365,0.6666867421385481,0.8194243392942739,0.15273759715572588,22.909949681282935,False
0.17727272727272728,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.25945038508582446,0.6873033919152305,0.8424825944109877,0.15517920249575723,22.57797710896449,False
0.2545454545454545,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.24773548060583528,0.7081224108164368,0.865729898879539,0.1576074880631022,22.257096464633435,False
0.3318181818181818,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.23602057612584604,0.7291435827697448,0.8891664405713162,0.16002285780157144,21.946686713432246,False
0.40909090909090906,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.22430567164585685,0.7503666576526076,0.9127923519919096,0.16242569433930198,21.64617693001215,False
0.48636363636363633,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.21259076716586767,0.7717913528674278,0.9366077133798199,0.164816360512392,21.35504108721245,False
0.5636363636363636,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.2008758626858785,0.7934173549858416,0.9606125557418816,0.16719520075604,21.07279349328369,False
0.6409090909090909,1.0,True,True,0.35,1.0,1.0,1.0,1.0,0.27078181322720457,0.1891609582058893,0.8152443214300549,0.984806863806602,0.1695625423765471,20.798984785212635,False
0.7181818181818181,1.0,True,True,0.35,1.2,1.0,1.0,1.0,0.22565151102267045,0.22180756715737515,0.8372718821657277,1.0105926697768068,0.17332078761107916,20.70065785115813,False
0.7954545454545454,1.0,True,True,0.35,1.2,1.0,1.0,1.0,0.22565151102267045,0.20716393655738868,0.8594996413863553,1.0455274699533712,0.18602782856701594,21.643735449029027,False
0.8727272727272727,1.0,True,True,0.35,1.2,1.0,1.0,1.0,0.22565151102267045,0.19252030595740222,0.8819271791735424,1.080824184874897,0.1988970057013546,22.552542930782767,False
0.95,1.0,True,True,0.35,1.2,1.0,1.0,1.0,0.22565151102267045,0.1778766753574157,0.9045540531211775,1.1164819707056515,0.21192791758447393,23.4289943042335,False
0.1,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.4067479343487205,1.1731348771185484,1.4946892005185501,0.3215543234000018,27.40983408402305,False
0.17727272727272728,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.38917557762873667,1.2157950018633734,1.5418735034015478,0.3260785015381744,26.820187699276126,False
0.2545454545454545,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.3716032209087529,1.2585117459751463,1.5890500676947878,0.3305383217196416,26.264222227304444,False
0.3318181818181818,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.35403086418876906,1.3012965732737105,1.6362343560879882,0.33493778281427766,25.73877390391221,False
0.40909090909090906,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.3364585074687853,1.344159858258936,1.683440347262968,0.33928048900403196,25.24108177456626,False
0.48636363636363633,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.3188861507488015,1.3871109754398434,1.7306806752371946,0.3435696997973512,24.768724772609314,False
0.5636363636363636,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.30131379402881775,1.4301583845275356,1.7779667570578233,0.3478083725302876,24.319570216356766,False
0.6409090909090909,1.5,True,True,0.35,1.0,1.0,1.0,1.0,0.40617271984080683,0.283741437308834,1.4733097105285229,1.8253089091716237,0.3519991986431008,23.891731394129447,False
0.7181818181818181,1.5,True,True,0.35,1.2,1.0,1.0,1.0,0.33847726653400567,0.3327113507360627,1.516571818279496,1.8772161135252294,0.3606442952457334,23.780231895306695,False
0.7954545454545454,1.5,True,True,0.35,1.2,1.0,1.0,1.0,0.33847726653400567,0.310745904836083,1.5599508812966623,1.9476426474783906,0.3876917661817283,24.852818818209915,False
0.8727272727272727,1.5,True,True,0.35,1.2,1.0,1.0,1.0,0.33847726653400567,0.2887804589361033,1.603452445026623,2.0181984006458222,0.41474595561919925,25.865809547742032,False
0.95,1.5,True,True,0.35,1.2,1.0,1.0,1.0,0.33847726653400567,0.26681501303612354,1.6470814847188084,2.0889038672840736,0.4418223825652652,26.824561302180722,False
0.1,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.5423305791316273,1.0748623151457586,1.5802467075018163,0.5053843923560577,47.01852369691872,False
0.17727272727272728,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.5189007701716489,1.1367684028281653,1.6515813674660813,0.514812964637916,45.287409762367886,False
0.2545454545454545,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.49547096121167056,1.198321827179813,1.722199326343987,0.5238774991641739,43.71759633195465,False
0.3318181818181818,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.4720411522516921,1.2595777247151472,1.7921990020103749,0.5326212772952277,42.28570153665425,False
0.40909090909090906,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.4486113432917137,1.320585795152801,1.8616661845435951,0.5410803893907941,40.97275552840452,False
0.48636363636363633,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.42518153433173533,1.3813904290184162,1.9306756223059125,0.5492851932874963,39.763211163827556,False
0.5636363636363636,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.401751725371757,1.4420310432786543,1.9992924737012405,0.5572614304225862,38.64420485397987,False
0.6409090909090909,2.0,True,True,0.35,1.0,1.0,1.0,1.0,0.5415636264544091,0.3783219164117786,1.5025425082883261,2.067573598188603,0.5650310899002768,37.604998646191504,False
