B_UH_MHz,B_HG_MHz,P_weighted_delay,rho_U,rho_H,rho_gap_abs,T1_E2E_s,T2_E2E_s,T3_E2E_s,is_grid_dense_optimal
0.3548743718592965,1.6451256281407036,92.62754539507347,0.9919464044446022,0.10953722849877487,0.8824091759458274,0.7482709854804369,1.2305687312152835,87.92159497620159,False
0.3647236180904523,1.635276381909548,24.171387851174778,0.96515920476547,0.11019696965745468,0.8549622351080153,0.7145069234599499,1.1678357988701034,19.69219548305472,False
0.374572864321608,1.6254271356783918,15.334832441368768,0.9397807228585702,0.11086470619529128,0.8289160166632789,0.6833454503078646,1.1108544740839963,11.063087142277181,False
0.3844221105527639,1.6155778894472361,11.770198907105646,0.9157026808088603,0.11154058434192507,0.8041620964669353,0.6545210522699867,1.058914236985984,7.688807276323718,False
0.3942713567839196,1.6057286432160804,9.800014462735419,0.8928276202125645,0.11222475391478032,0.7806028662977842,0.6278016820046072,1.011413616423519,5.89378218387456,False
0.40412060301507535,1.5958793969849245,8.526376053717886,0.8710675837090005,0.11291736842977806,0.7581502152792224,0.602983792773708,0.9678404382804704,4.781743798835821,False
0.41396984924623115,1.5860301507537689,7.621642389815893,0.8503429847278199,0.11361858521617424,0.7367243995116457,0.5798882147036637,0.9277561636207383,4.026465418463426,False
0.42381909547738694,1.5761809045226132,6.937418684507895,0.8305816348337423,0.114328565535704,0.7162530692980382,0.5583567133987134,0.8907833700726491,3.480781804166457,False
0.43366834170854274,1.5663316582914573,6.396521492133437,0.8117179036138796,0.11504747470622044,0.6966704289076592,0.5382491045393183,0.8565956707282841,3.068582837058914,False
0.4435175879396985,1.5564824120603016,5.954705695118127,0.7936919905039408,0.11577548223002812,0.6779165082739127,0.5194408238751086,0.8249095391691259,2.746564145154549,False
0.4533668341708543,1.546633165829146,5.584699335661526,0.7764492915304568,0.11651276192711973,0.659936529603337,0.5018208720791215,0.7954776367854928,2.488281445853175,False
0.46321608040201007,1.53678391959799,5.268716754544918,0.7599398468418075,0.11725949207353642,0.6426803547682711,0.4852900696340338,0.7680833328299903,2.2766798799828356,False
0.4730653266331658,1.526934673366834,4.994622209702193,0.744117857253854,0.11801585554508298,0.6261020017087711,0.46975956929024104,0.742536177979202,2.1002711458730654,False
0.48291457286432166,1.5170854271356784,4.753822037943069,0.7289412599571052,0.11878203996664097,0.6101592199904643,0.4551495834335508,0.7186681451179989,1.9510369974064183,False
0.4927638190954774,1.5072361809045225,4.5400392200928,0.7143713551078708,0.11955823786733652,0.5948131172405342,0.44138829150350545,0.6963304912414215,1.8232133630994405,False
0.5026130653266332,1.4973869346733668,4.3485668104158,0.7003724763235134,0.12034464684183137,0.5800278294816821,0.42841089885015776,0.6753911251051385,1.7125518636550499,False
0.512462311557789,1.4875376884422111,4.17579478641267,0.6869116991751109,0.12114146971802214,0.5657702294570888,0.4161588234426912,0.655732388941408,1.6158535382017802,False
0.5223115577889448,1.4776884422110552,4.018899872708259,0.6739585826618992,0.12194891473144567,0.5520096679304536,0.4045789909054472,0.6372491809383422,1.5306645381152335,False
0.5321608040201005,1.4678391959798995,3.8756361569367237,0.6614849393945026,0.1227671957067063,0.5387177436877963,0.393623221655263,0.6198473595389915,1.4550717728929516,False
